seq,tx_ts,rx_ts,latency_ns
402,1763689448937811411,1763689448937728844,-82567
403,1763689448938872228,1763689448938789948,-82280
404,1763689448939931970,1763689448939851681,-80289
405,1763689448940991657,1763689448940910137,-81520
406,1763689448942051363,1763689448941969075,-82288
407,1763689448943112161,1763689448943030216,-81945
408,1763689448944172015,1763689448944090468,-81547
409,1763689448945231794,1763689448945149053,-82741
410,1763689448946291630,1763689448946208991,-82639
411,1763689448947352243,1763689448947270873,-81370
412,1763689448948412004,1763689448948329551,-82453
413,1763689448949471783,1763689448949389988,-81795
414,1763689448950532544,1763689448950450314,-82230
415,1763689448951592324,1763689448951511511,-80813
416,1763689448952652104,1763689448952570041,-82063
417,1763689448953711920,1763689448953629719,-82201
418,1763689448954772774,1763689448954691156,-81618
419,1763689448955832646,1763689448955750983,-81663
420,1763689448956892222,1763689448956810050,-82172
421,1763689448957951946,1763689448957869376,-82570
422,1763689448959012633,1763689448958930184,-82449
423,1763689448960072487,1763689448959990825,-81662
424,1763689448961132193,1763689448961049744,-82449
425,1763689448962191917,1763689448962109385,-82532
426,1763689448963252641,1763689448963187841,-64800
427,1763689448964312420,1763689448964230926,-81494
428,1763689448965372089,1763689448965289512,-82577
429,1763689448966432794,1763689448966350245,-82549
430,1763689448967492556,1763689448967411757,-80799
431,1763689448968551706,1763689448968470194,-81512
432,1763689448969611319,1763689448969528965,-82354
433,1763689448970671932,1763689448970589625,-82307
434,1763689448971731859,1763689448971650729,-81130
435,1763689448972791602,1763689448972709351,-82251
436,1763689448973851437,1763689448973769085,-82352
437,1763689448974912143,1763689448974830337,-81806
438,1763689448975971959,1763689448975890423,-81536
439,1763689448977031628,1763689448976950008,-81620
440,1763689448978091333,1763689448978009057,-82276
441,1763689448979152039,1763689448979069679,-82360
442,1763689448980211874,1763689448980130357,-81517
443,1763689448981271580,1763689448981189054,-82526
444,1763689448982331267,1763689448982249473,-81794
445,1763689448983392065,1763689448983310762,-81303
446,1763689448984451956,1763689448984370533,-81423
447,1763689448985511717,1763689448985429285,-82432
448,1763689448986572348,1763689448986491370,-80978
449,1763689448987632109,1763689448987550641,-81468
450,1763689448988691815,1763689448988609190,-82625
451,1763689448989751372,1763689448989668942,-82430
452,1763689448990812022,1763689448990730231,-81791
453,1763689448991871728,1763689448991790205,-81523
454,1763689448992931396,1763689448992849254,-82142
455,1763689448993991046,1763689448993908673,-82373
456,1763689448995051715,1763689448994969406,-82309
457,1763689448996111513,1763689448996030936,-80577
458,1763689448997171237,1763689448997088652,-82585
459,1763689448998230887,1763689448998148330,-82557
460,1763689448999291630,1763689448999210360,-81270
461,1763689449000351428,1763689449000269260,-82168
462,1763689449001411078,1763689449001330531,-80547
463,1763689449002472265,1763689449002389875,-82390
464,1763689449003532082,1763689449003451072,-81010
465,1763689449004591898,1763689449004510102,-81796
466,1763689449005651585,1763689449005569225,-82360
467,1763689449006712328,1763689449006630236,-82092
468,1763689449007772200,1763689449007690655,-81545
469,1763689449008831943,1763689449008749648,-82295
470,1763689449009891722,1763689449009810511,-81211
471,1763689449010952317,1763689449010869949,-82368
472,1763689449012012078,1763689449011930793,-81285
473,1763689449013071932,1763689449012989286,-82646
474,1763689449014131674,1763689449014049335,-82339
475,1763689449015192528,1763689449015110272,-82256
476,1763689449016252271,1763689449016171098,-81173
477,1763689449017312032,1763689449017229369,-82663
478,1763689449018371608,1763689449018301158,-70450
479,1763689449019431091,1763689449019350336,-80755
480,1763689449020490945,1763689449020408478,-82467
481,1763689449021550706,1763689449021467896,-82810
482,1763689449022611560,1763689449022529352,-82208
483,1763689449023671228,1763689449023591641,-79587
484,1763689449024730897,1763689449024649820,-81077
485,1763689449025790602,1763689449025708461,-82141
486,1763689449026851474,1763689449026769620,-81854
